"grpid"	"inchikey"	"sirius_id"	"sirius_score"	"sirius_wscore"	"metfrag_id"	"metfrag_score"	"metfrag_wscore"	"sm_lid"	"sm_mid"	"sm_score"	"sm_wscore"	"probmetab_id"	"probmetab_score"	"probmetab_wscore"	"wscore"	"rank"
1	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	0	"0"	0	10	1	0.25	0	0	0	0	0	"0"	0	0.25	1
1	"MWFMGBPGAXYFAR-UHFFFAOYSA-N"	0	"0"	0	3	1	0.25	0	0	0	0	0	"0"	0	0.25	2
1	"RWRDLPDLKQPQOW-CNRUNOGKSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	3
1	"RWRDLPDLKQPQOW-DICFDUPASA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	4
1	"RWRDLPDLKQPQOW-DYCDLGHISA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	5
1	"RWRDLPDLKQPQOW-HJOWPTDZSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	6
1	"RWRDLPDLKQPQOW-KHORGVISSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	7
1	"RWRDLPDLKQPQOW-KLRAWXKOSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	8
1	"RWRDLPDLKQPQOW-LBPDFUHNSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	9
1	"RWRDLPDLKQPQOW-LNLMKGTHSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	10
1	"RWRDLPDLKQPQOW-MICDWDOJSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	11
1	"RWRDLPDLKQPQOW-MNYXATJNSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	12
1	"RWRDLPDLKQPQOW-QAOQSSEZSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	13
1	"RWRDLPDLKQPQOW-SMZGMGDZSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	14
1	"RWRDLPDLKQPQOW-SVYQBANQSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	15
1	"RWRDLPDLKQPQOW-UHFFFAOYSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	16
1	"RWRDLPDLKQPQOW-UHFFFAOYSA-O"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	17
1	"RWRDLPDLKQPQOW-WFVSFCRTSA-N"	1	"1.0"	0.25	0	0	0	0	0	0	0	0	"0"	0	0.25	18
